        2       1      19       6       1       2
 BH3                                                                             
 aoints SIFS file created by argos.      colosse2          16:37:21.494 14-Jan-18
       19
     a
        2    4096    3272    4096    2700       0
     1B__1s    2B__1s    3B__1s    4B__1s    5B__2p    6B__2p    7B__2p    8B__2p
     9B__2p   10B__2p   11B__2p   12B__2p   13B__2p   14H__1s   15H__1s   16H__1s
    17H__1s   18H__1s   19H__1s
       -1
   4.353049394691E-01  19  13
  -9.214105270429E-03  18  14
  -3.012160857067E-01  18  15
  -3.012159783766E-01  19  14
  -1.052395226605E+00  19  15
  -9.214122612517E-03  18  16
  -3.012162594134E-01  18  17
  -3.012162594134E-01  19  16
  -1.052395716075E+00  19  17
  -4.467155900286E+00  18  18
  -2.554507679833E+00  19  18
  -3.306024064996E+00  19  19
      30     32      0      1      0      0      1      2
   0.000000000000E+00
   9.450825409506E-02   6   1
   7.813906833349E-01   6   2
   7.817198225123E-01   6   3
   4.218329060658E-01   6   4
   1.420706784055E-02   9   1
   5.127143381033E-01   9   2
   1.418030364689E+00   9   3
   1.628828469078E+00   9   4
   2.711876973165E-03  12   1
   1.426702928133E-01  12   2
   8.198721884555E-01  12   3
   2.817180849095E+00  12   4
   9.238096521932E-02  14   6
   1.091912363101E-01  14   9
   3.746538605917E-02  14  12
   4.255544173324E-01  15   6
   7.686104800455E-01  15   9
   4.299783648740E-01  15  12
   9.238112055551E-02  16   6
   1.091912999667E-01  16   9
   3.746539218839E-02  16  12
   4.255547235820E-01  17   6
   7.686107869195E-01  17   9
   4.299784271757E-01  17  12
   9.238112055551E-02  18   6
   1.091912999667E-01  18   9
   3.746539218839E-02  18  12
   4.255547235820E-01  19   6
   7.686107869195E-01  19   9
   4.299784271757E-01  19  12
      87     89      0      1      1      0      1      2
   0.000000000000E+00
   9.450825409506E-02   7   1
   7.813906833349E-01   7   2
   7.817198225123E-01   7   3
   4.218329060658E-01   7   4
   1.420706784055E-02  10   1
   5.127143381033E-01  10   2
   1.418030364689E+00  10   3
   1.628828469078E+00  10   4
   2.711876973165E-03  13   1
   1.426702928133E-01  13   2
   8.198721884555E-01  13   3
   2.817180849095E+00  13   4
   6.147183299479E-03  14   1
   3.384105862511E-01  14   2
   5.975740755439E-01  14   3
   4.049207834972E-01  14   4
   6.014734039635E-01  14   7
   9.349902785034E-01  14  10
   3.481594612396E-01  14  13
   8.860775409520E-03  15   1
   3.253694348623E-01  15   2
   8.949189286910E-01  15   3
   9.946108508584E-01  15   4
   6.379844881376E-01  15   7
   1.611142982043E+00  15  10
   1.105103799244E+00  15  13
   2.241069690000E+00  14  14
   1.447504538356E+00  15  14
   2.241069690000E+00  15  15
  -3.073600281038E-03  16   1
  -1.692054213888E-01  16   2
  -2.987869608942E-01  16   3
  -2.024602541649E-01  16   4
  -2.204435818564E-01  16   5
   2.196542298398E-01  16   7
  -3.575812272771E-01  16   8
   3.156408333757E-01  16  10
  -1.345343310842E-01  16  11
   1.151387926946E-01  16  13
  -4.430388141895E-03  17   1
  -1.626846944790E-01  17   2
  -4.474592656335E-01  17   3
  -4.973050780849E-01  17   4
  -9.198486684022E-02  17   5
   4.786621894981E-01  17   7
  -3.648269546068E-01  17   8
   9.792436412422E-01  17  10
  -2.923375572624E-01  17  11
   5.987595255412E-01  17  13
   9.215167152878E-04  16  14
  -3.494407328453E-02  16  15
   1.092808642550E-01  17  14
   1.409383428028E-01  17  15
  -1.120533900000E+00  16  16
  -7.237516588035E-01  17  16
  -1.120533900000E+00  17  17
  -3.073600281038E-03  18   1
  -1.692054213888E-01  18   2
  -2.987869608942E-01  18   3
  -2.024602541649E-01  18   4
   2.204435818564E-01  18   5
   2.196542298398E-01  18   7
   3.575812272771E-01  18   8
   3.156408333757E-01  18  10
   1.345343310842E-01  18  11
   1.151387926946E-01  18  13
  -4.430388141895E-03  19   1
  -1.626846944790E-01  19   2
  -4.474592656335E-01  19   3
  -4.973050780849E-01  19   4
   9.198486684022E-02  19   5
   4.786621894981E-01  19   7
   3.648269546068E-01  19   8
   9.792436412422E-01  19  10
   2.923375572624E-01  19  11
   5.987595255412E-01  19  13
   9.215167152878E-04  18  14
  -3.494407328453E-02  18  15
   1.092808642550E-01  19  14
   1.409383428028E-01  19  15
  -1.843032958948E-03  18  16
  -7.433670444349E-02  18  17
  -7.433670444349E-02  19  16
  -2.818762996405E-01  19  17
  -1.120533900000E+00  18  18
  -7.237516588035E-01  19  18
  -1.120533900000E+00  19  19
      74     76      0      1      2      0      1      2
   0.000000000000E+00
   9.450825409506E-02   5   1
   7.813906833349E-01   5   2
   7.817198225123E-01   5   3
   4.218329060658E-01   5   4
   1.420706784055E-02   8   1
   5.127143381033E-01   8   2
   1.418030364689E+00   8   3
   1.628828469078E+00   8   4
   2.711876973165E-03  11   1
   1.426702928133E-01  11   2
   8.198721884555E-01  11   3
   2.817180849095E+00  11   4
   9.238096521932E-02  14   5
   1.091912363101E-01  14   8
   3.746538605917E-02  14  11
   4.255544173324E-01  15   5
   7.686104800455E-01  15   8
   4.299783648740E-01  15  11
   5.323634025735E-03  16   1
   2.930725065979E-01  16   2
   5.175144085180E-01  16   3
   3.506715901156E-01  16   4
   4.742007606581E-01  16   5
  -2.204435818564E-01  16   7
   7.285404066935E-01  16   8
  -3.575812272771E-01  16  10
   2.704857842699E-01  16  11
  -1.345343310842E-01  16  13
   7.673660496750E-03  17   1
   2.817782716698E-01  17   2
   7.750224992991E-01  17   3
   8.613580143119E-01  17   4
   5.848772516233E-01  17   5
  -9.198486684022E-02  17   7
   1.400509866651E+00  17   8
  -3.648269546068E-01  17  10
   9.363221363572E-01  17  11
  -2.923375572624E-01  17  13
   1.596111731394E-03  16  14
   1.060116140270E-01  16  15
   2.274332028263E-02  17  14
   2.441120585431E-01  17  15
   1.940822440000E+00  16  16
   1.253575157693E+00  17  16
   1.940822440000E+00  17  17
  -5.323634025735E-03  18   1
  -2.930725065979E-01  18   2
  -5.175144085180E-01  18   3
  -3.506715901156E-01  18   4
   4.742007606581E-01  18   5
   2.204435818564E-01  18   7
   7.285404066935E-01  18   8
   3.575812272771E-01  18  10
   2.704857842699E-01  18  11
   1.345343310842E-01  18  13
  -7.673660496750E-03  19   1
  -2.817782716698E-01  19   2
  -7.750224992991E-01  19   3
  -8.613580143119E-01  19   4
   5.848772516233E-01  19   5
   9.198486684022E-02  19   7
   1.400509866651E+00  19   8
   3.648269546068E-01  19  10
   9.363221363572E-01  19  11
   2.923375572624E-01  19  13
  -1.596111731394E-03  18  14
  -1.060116140270E-01  18  15
  -2.274332028263E-02  19  14
  -2.441120585431E-01  19  15
  -8.326833739061E-02  18  17
   8.326833739061E-02  19  16
  -1.940822440000E+00  18  18
  -1.253575157693E+00  19  18
  -1.940822440000E+00  19  19
      30     32      0      2      3      0      1      2
   0.000000000000E+00
   8.546728225558E-01   6   1
   4.373150236075E-01   6   2
   1.943793241866E-01   6   3
   2.657547308215E-02   6   4
   1.190682179266E-01   9   1
   4.192596338064E-01   9   2
   3.526017583620E-01   9   3
   1.026161935519E-01   9   4
   2.259995694986E-02  12   1
   1.212867808770E-01  12   2
   2.038661388926E-01  12   3
   1.774823934930E-01  12   4
  -1.589947782666E-01  14   6
  -1.880402655290E-01  14   9
  -6.413572067912E-02  14  12
  -1.559163296399E-01  15   6
  -2.816065821210E-01  15   9
  -1.575371932360E-01  15  12
  -1.589950499087E-01  16   6
  -1.880403757297E-01  16   9
  -6.413573118384E-02  16  12
  -1.559164418449E-01  17   6
  -2.816066945547E-01  17   9
  -1.575372160623E-01  17  12
  -1.589950499087E-01  18   6
  -1.880403757297E-01  18   9
  -6.413573118384E-02  18  12
  -1.559164418449E-01  19   6
  -2.816066945547E-01  19   9
  -1.575372160623E-01  19  12
      74     76      0      2      4      0      1      2
   0.000000000000E+00
   8.546728225558E-01   7   1
   4.373150236075E-01   7   2
   1.943793241866E-01   7   3
   2.657547308215E-02   7   4
   1.190682179266E-01  10   1
   4.192596338064E-01  10   2
   3.526017583620E-01  10   3
   1.026161935519E-01  10   4
   2.259995694986E-02  13   1
   1.212867808770E-01  13   2
   2.038661388926E-01  13   3
   1.774823934930E-01  13   4
   5.016778933335E-02  14   1
   2.862405453747E-01  14   2
   1.485903793284E-01  14   3
   2.551000936033E-02  14   4
   3.471629862390E-01  14   7
   1.729962110659E-02  14  10
  -4.456199394275E-02  14  13
   7.422575329775E-02  15   1
   2.665909304417E-01  15   2
   2.225269611326E-01  15   3
   6.266048360408E-02  15   4
   5.315815988662E-02  15   7
  -7.210582030424E-02  15  10
  -1.150042908707E-01  15  13
  -2.508396658542E-02  16   1
  -1.431203571031E-01  16   2
  -7.429517054811E-02  16   3
  -1.275499601239E-02  16   4
  -2.191728529687E-01  16   5
  -3.245559598982E-02  16   7
  -8.891471764980E-02  16   8
  -1.367054605504E-01  16  10
  -8.475662858304E-03  16  11
  -5.924230695195E-02  16  13
  -3.711288047146E-02  17   1
  -1.332954425836E-01  17   2
  -1.112634311554E-01  17   3
  -3.133021991935E-02  17   4
  -9.053185934775E-02  17   5
  -1.036478698527E-01  17   7
  -9.071641122472E-02  17   8
  -2.292315715303E-01  17  10
  -1.841726610753E-02  17  11
  -1.469040068653E-01  17  13
  -4.565609712581E-03  16  14
  -6.727452505366E-02  16  15
  -6.727452505366E-02  17  14
  -1.549124871750E-01  17  15
  -2.508396658542E-02  18   1
  -1.431203571031E-01  18   2
  -7.429517054811E-02  18   3
  -1.275499601239E-02  18   4
   2.191728529687E-01  18   5
  -3.245559598982E-02  18   7
   8.891471764980E-02  18   8
  -1.367054605504E-01  18  10
   8.475662858304E-03  18  11
  -5.924230695195E-02  18  13
  -3.711288047146E-02  19   1
  -1.332954425836E-01  19   2
  -1.112634311554E-01  19   3
  -3.133021991935E-02  19   4
   9.053185934775E-02  19   5
  -1.036478698527E-01  19   7
   9.071641122472E-02  19   8
  -2.292315715303E-01  19  10
   1.841726610753E-02  19  11
  -1.469040068653E-01  19  13
  -4.565609712581E-03  18  14
  -6.727452505366E-02  18  15
  -6.727452505366E-02  19  14
  -1.549124871750E-01  19  15
      70     72      0      2      5      0      1      2
   0.000000000000E+00
   8.546728225558E-01   5   1
   4.373150236075E-01   5   2
   1.943793241866E-01   5   3
   2.657547308215E-02   5   4
   1.190682179266E-01   8   1
   4.192596338064E-01   8   2
   3.526017583620E-01   8   3
   1.026161935519E-01   8   4
   2.259995694986E-02  11   1
   1.212867808770E-01  11   2
   2.038661388926E-01  11   3
   1.774823934930E-01  11   4
  -1.589947782666E-01  14   5
  -1.880402655290E-01  14   8
  -6.413572067912E-02  14  11
  -1.559163296399E-01  15   5
  -2.816065821210E-01  15   8
  -1.575371932360E-01  15  11
   4.344672234655E-02  16   1
   2.478918314623E-01  16   2
   1.286830627645E-01  16   3
   2.209231017728E-02  16   4
   2.206236222979E-01  16   5
  -2.191728529687E-01  16   7
  -3.403550424748E-02  16   8
  -8.891471764980E-02  16  10
  -4.945544648271E-02  16  11
  -8.475662858304E-03  16  13
   6.428142087628E-02  17   1
   2.308745733761E-01  17   2
   1.927139945857E-01  17   3
   5.426555490165E-02  17   4
   8.894023665662E-04  17   5
  -9.053185934775E-02  17   7
  -1.244811969850E-01  17   8
  -9.071641122472E-02  17  10
  -1.256375623839E-01  17  11
  -1.841726610753E-02  17  13
   2.635955592390E-03  16  14
   3.884095919367E-02  16  15
   3.884095919367E-02  17  14
   8.943875245726E-02  17  15
  -4.344672234655E-02  18   1
  -2.478918314623E-01  18   2
  -1.286830627645E-01  18   3
  -2.209231017728E-02  18   4
   2.206236222979E-01  18   5
   2.191728529687E-01  18   7
  -3.403550424748E-02  18   8
   8.891471764980E-02  18  10
  -4.945544648271E-02  18  11
   8.475662858304E-03  18  13
  -6.428142087628E-02  19   1
  -2.308745733761E-01  19   2
  -1.927139945857E-01  19   3
  -5.426555490165E-02  19   4
   8.894023665662E-04  19   5
   9.053185934775E-02  19   7
  -1.244811969850E-01  19   8
   9.071641122472E-02  19  10
  -1.256375623839E-01  19  11
   1.841726610753E-02  19  13
  -2.635955592390E-03  18  14
  -3.884095919367E-02  18  15
  -3.884095919367E-02  19  14
  -8.943875245726E-02  19  15
  -5.271918735844E-03  18  16
  -7.768195903673E-02  18  17
  -7.768195903673E-02  19  16
  -1.788775616945E-01  19  17
      51     53      0      2      6      0      1      2
   0.000000000000E+00
  -1.000000000000E+00   7   5
   5.512715679286E-01   8   7
  -5.512715679286E-01  10   5
  -1.000000000000E+00  10   8
   1.497358276453E-01  11   7
  -1.497358276453E-01  13   5
   5.781767505631E-01  11  10
  -5.781767505631E-01  13   8
  -1.000000000000E+00  13  11
  -3.563183784415E-01  14   5
  -4.214113395767E-01  14   8
  -1.437326196603E-01  14  11
  -3.494193605320E-01  15   5
  -6.310999756959E-01  15   8
  -3.530518288089E-01  15  11
   1.781593433549E-01  16   5
   3.085811607118E-01  16   7
   2.107056155739E-01  16   8
   3.649529808423E-01  16  10
   7.186626099278E-02  16  11
   1.244760662874E-01  16  13
   1.747096586546E-01  17   5
   3.026061290975E-01  17   7
   3.155498477155E-01  17   8
   5.465485920460E-01  17  10
   1.765257911095E-01  17  11
   3.057517640689E-01  17  13
   5.907360182292E-03  16  14
   8.704529637946E-02  16  15
   8.704529637946E-02  17  14
   2.004384772434E-01  17  15
   1.781593433549E-01  18   5
  -3.085811607118E-01  18   7
   2.107056155739E-01  18   8
  -3.649529808423E-01  18  10
   7.186626099278E-02  18  11
  -1.244760662874E-01  18  13
   1.747096586546E-01  19   5
  -3.026061290975E-01  19   7
   3.155498477155E-01  19   8
  -5.465485920460E-01  19  10
   1.765257911095E-01  19  11
  -3.057517640689E-01  19  13
  -5.907360182292E-03  18  14
  -8.704529637946E-02  18  15
  -8.704529637946E-02  19  14
  -2.004384772434E-01  19  15
   5.907363661558E-03  18  16
   8.704526851906E-02  18  17
   8.704526851906E-02  19  16
   2.004383718281E-01  19  17
      21     23      0      2      7      0      1      2
   0.000000000000E+00
   1.000000000000E+00   6   5
  -5.512715679286E-01   8   6
   5.512715679286E-01   9   5
   1.000000000000E+00   9   8
  -1.497358276453E-01  11   6
   1.497358276453E-01  12   5
  -5.781767505631E-01  11   9
   5.781767505631E-01  12   8
   1.000000000000E+00  12  11
  -3.085811607118E-01  16   6
  -3.649529808423E-01  16   9
  -1.244760662874E-01  16  12
  -3.026061290975E-01  17   6
  -5.465485920460E-01  17   9
  -3.057517640689E-01  17  12
   3.085811607118E-01  18   6
   3.649529808423E-01  18   9
   1.244760662874E-01  18  12
   3.026061290975E-01  19   6
   5.465485920460E-01  19   9
   3.057517640689E-01  19  12
      27     29      0      2      8      0      1      2
   0.000000000000E+00
   1.000000000000E+00   7   6
  -5.512715679286E-01   9   7
   5.512715679286E-01  10   6
   1.000000000000E+00  10   9
  -1.497358276453E-01  12   7
   1.497358276453E-01  13   6
  -5.781767505631E-01  12  10
   5.781767505631E-01  13   9
   1.000000000000E+00  13  12
   3.563183784415E-01  14   6
   4.214113395767E-01  14   9
   1.437326196603E-01  14  12
   3.494193605320E-01  15   6
   6.310999756959E-01  15   9
   3.530518288089E-01  15  12
  -1.781593433549E-01  16   6
  -2.107056155739E-01  16   9
  -7.186626099278E-02  16  12
  -1.747096586546E-01  17   6
  -3.155498477155E-01  17   9
  -1.765257911095E-01  17  12
  -1.781593433549E-01  18   6
  -2.107056155739E-01  18   9
  -7.186626099278E-02  18  12
  -1.747096586546E-01  19   6
  -3.155498477155E-01  19   9
  -1.765257911095E-01  19  12
     103    105      0      1      3      0      1      2
   0.000000000000E+00
   4.302639820480E-02   1   1
   3.038333396624E-02   2   1
   6.833767368484E-01   2   2
   2.014605359110E-02   3   1
   7.270444998418E-01   3   2
   2.010810115179E+00   3   3
   7.639847873901E-03   4   1
   4.019280166485E-01   4   2
   2.309728228023E+00   4   3
   7.936507936508E+00   4   4
   4.450965749318E-01   5   5
   1.335289724795E+00   6   6
   4.450965749318E-01   7   7
   4.482141621496E-01   8   5
   1.344642486449E+00   9   6
